regime,metric,parameter,pawn_median,delta,S1_givendata,n
oxide,permeability,E_diss_metal,0.07507342545620078,0.08625341640339607,0.014176245752831974,1513
oxide,permeability,K_eq_metal_ref,0.0736246131758753,0.054358321705319054,0.006668078573234773,1513
oxide,permeability,H_eq_metal,0.08415092032638245,0.051832640403902286,0.009119193013686955,1513
oxide,theta,D_ref,0.058403330079706564,0.03342931393461862,0.012625525000162416,1513
oxide,theta,E_D,0.05698635239104708,0.026130753974580735,0.0034938047563020168,1513
oxide,theta,K_s_ref,0.06545480012080732,0.05796732206953236,0.025901636988410373,1513
oxide,theta,H_s,0.058462420610777235,0.06453980045343397,0.00927422554394247,1513
oxide,theta,D_ox_ref,0.06980780257634715,0.07319215433538391,0.009208333417237743,1513
oxide,theta,E_D_ox,0.06060281095844841,0.040881646359799885,0.005197346975562891,1513
oxide,theta,K_ox_ref,0.07172933910523804,0.05410518175732487,0.005784925937241796,1513
oxide,theta,H_sol_ox,0.07289364142114915,0.06583856906193197,0.004915771691617429,1513
oxide,theta,metal_thickness,0.052030306876824695,0.06710764110254913,0.016903940270994167,1513
oxide,theta,oxide_thickness,0.06233832174137606,0.09389636514813518,0.019747129034005044,1513
oxide,theta,P_upstream,0.18452003169003295,0.17561395417709796,0.24409406002053657,1513
oxide,theta,f_pinhole,0.07781785234370556,0.07455175675064135,0.014410806831006828,1513
oxide,theta,f_crack,0.06364925611586997,0.086451470741076,0.012475112550390065,1513
oxide,theta,f_gb_defect,0.0626687910077343,0.07130183309585031,0.007216104012276292,1513
oxide,theta,crack_thickness_factor,0.06619233749009687,0.053054513112465285,0.008714032395639506,1513
oxide,theta,gb_diffusivity_factor,0.07443874938173796,0.0854162169629065,0.016856965319708032,1513
oxide,theta,grain_size,0.06721985616927029,0.06190030727714615,0.012650208404973416,1513
oxide,theta,gb_thickness,0.056652888282958176,0.06350296034974921,0.0065409864996946185,1513
oxide,theta,lattice_density,0.06084982780811911,0.06280718253612187,0.007697665558574653,1513
oxide,theta,trap_dislocation_E_b,0.062409103673818425,0.03837017284052321,0.01531665717369699,1513
oxide,theta,trap_dislocation_N_T,0.06174303935429369,0.05411481082542429,0.006948696451882272,1513
oxide,theta,trap_gb_E_b,0.06135347955686479,0.04989201128576582,0.010089947408405195,1513
